filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [244.46354930292082, 160.69126117732148], 'range': [6.119918336238186, 4.032926461107024], 'maxbid': [247.0600874076668, 163.02419515589304], 'minask': [240.9501690714286, 159.001268694786], 'lastmidprice': [244.5914296595116, 160.9359697772616]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [244.46354930292082, 160.69126117732148], 'range': [6.119918336238186, 4.032926461107024], 'maxbid': [247.0600874076668, 163.02419515589304], 'minask': [240.9501690714286, 159.001268694786], 'lastmidprice': [244.5914296595116, 160.9359697772616]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [242.98994323005468, 160.8303853845078], 'range': [6.114609520536192, 3.9916945529988936], 'maxbid': [247.04764405409566, 162.96521478276648], 'minask': [240.94303453355946, 158.98352022976758], 'lastmidprice': [241.0586817030137, 158.98443797323765]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [242.98994323005468, 160.8303853845078], 'range': [6.114609520536192, 3.9916945529988936], 'maxbid': [247.04764405409566, 162.96521478276648], 'minask': [240.94303453355946, 158.98352022976758], 'lastmidprice': [241.0586817030137, 158.98443797323765]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [242.98994323005468, 160.8303853845078], 'range': [6.114609520536192, 3.9916945529988936], 'maxbid': [247.04764405409566, 162.96521478276648], 'minask': [240.94303453355946, 158.98352022976758], 'lastmidprice': [241.0586817030137, 158.98443797323765]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [243.14870293416473, 161.41816871018895], 'range': [6.079713108029239, 3.7516203825093157], 'maxbid': [247.01172255691105, 162.88840136518223], 'minask': [240.9420094488818, 159.1467809826729], 'lastmidprice': [241.06167642330453, 160.617338015863]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [243.14870293416473, 161.41816871018895], 'range': [6.079713108029239, 3.7516203825093157], 'maxbid': [247.01172255691105, 162.88840136518223], 'minask': [240.9420094488818, 159.1467809826729], 'lastmidprice': [241.06167642330453, 160.617338015863]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [244.0413386687961, 161.0235775397343], 'range': [6.05577118751475, 4.023945597255164], 'maxbid': [246.98728001282217, 163.00641543906332], 'minask': [240.9415088253074, 158.99246984180814], 'lastmidprice': [241.50441759108193, 162.8206495183711]}
filter_rule: OB, multi_market: none, data: {'sym': ['BARC.L', 'VOD.L'], 'volume': [13038540, 11686060], 'vwap': [244.0413386687961, 161.0235775397343], 'range': [6.05577118751475, 4.023945597255164], 'maxbid': [246.98728001282217, 163.00641543906332], 'minask': [240.9415088253074, 158.99246984180814], 'lastmidprice': [241.50441759108193, 162.8206495183711]}
